Acc	Subgenus	Genus	Country	Continent	Brazilian State	Biome	Host	Name	Collection_Date
MN312300	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuscus	Miniopterus HKU8 7389	
MN312313	Minunacovirus	Alphacoronavirus	Laos	Asia		Other	Miniopterus fuscus	Miniopterus HKU8 7562	
MN312422	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuliginosus	Miniopterus HKU8 6454_2	
MN312503	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus	Miniopterus HKU8 8653	
MN312511	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus schreibersii	Miniopterus HKU8 8680_1	
MN312562	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus	Miniopterus bat coronavirus HKU8 ML140028	
MN312568	Minunacovirus	Alphacoronavirus	China	Asia		Other	Miniopterus fuscus	Miniopterus bat coronavirus HKU8 ML140094	
MN872693	Unclassified	Alphacoronavirus	Brazil	South America	Sao Paulo	Atlantic RainForest	Artibeus planirostris	Bat coronavirus batCoV IDRC35	2012
MN872696	Unclassified	Alphacoronavirus	Brazil	South America	Sao Paulo	Atlantic RainForest	Sturnira lilium	Bat coronavirus batCoV IDRC175	2012
MN872698	Unclassified	Alphacoronavirus	Brazil	South America	Sao Paulo	Atlantic RainForest	Carollia perspicillata	Bat coronavirus batCoV IDRC193	2012
MN872699	Unclassified	Alphacoronavirus	Brazil	South America	Sao Paulo	Atlantic RainForest	Carollia perspicillata	Bat coronavirus batCoV IDRC216	2012
MN872700	Unclassified	Alphacoronavirus	Brazil	South America	Sao Paulo	Atlantic RainForest	Carollia perspicillata	Bat coronavirus batCoV IDRC229	2012
MT083442	Unclassified	Alphacoronavirus	Peru	South America		Tropical RainForest	Carollia perspicillata	Bat coronavirus Trinidad 1FY2BA	04/06/2013
MT125487	Duvinacovirus	Alphacoronavirus	Guinea	Asia		Other	Hipposideros ruber	Human coronavirus 229E 10033	24/01/2018
MW249018	Unclassified	Alphacoronavirus	Peru	South America		Tropical RainForest	Desmodus rotundus	Bat coronavirus DesRot	2016
MW450841	Minunacovirus	Alphacoronavirus	China	Asia		Other	Rhinolophus sinicus	Alphacoronavirus BF3 1 YN CHN	19/02/2020
MW450842	Minunacovirus	Alphacoronavirus	China	Asia		Other	Rhinolophus sinicus	Alphacoronavirus BF3 2 YN CHN	19/02/2020
MW450843	Minunacovirus	Alphacoronavirus	China	Asia		Other	Rhinolophus sinicus	Alphacoronavirus ATG20 YN CHN	19/02/2020
MW465544	Unclassified	Alphacoronavirus	Brazil	South America	Rio Grande do Sul	Atlantic RainForest	Desmodus rotundus	Bat coronavirus 112	2019
MW465545	Unclassified	Alphacoronavirus	Brazil	South America	Rio Grande do Sul	Atlantic RainForest	Desmodus rotundus	Bat coronavirus 120	2019
MZ081388	Decacovirus	Alphacoronavirus	China	Asia		Other	Hipposideros larvatus	Alphacoronavirus Yunnan HlYN23	28/07/2020
